quote,author
"A Single Man A few times in my life I?ve had moments of absolute clarity, when for a few brief seconds the silence drowns out the noise and I can feel rather than think, and things seem so sharp and the world seems so fresh. I can never make these moments last. I cling to them, but like everything, they fade. I have lived my life on these moments. They pull me back to the present, and I realize that everything is exactly the way it was meant to be",Unknown
The sea will grant each man new hopeThe sleep brings dreams of home- Christopher Columbus christopher columbus,Unknown
"The three most harmful addictions are heroin, carbohydrates, and a monthly salary.                    ? Nassim Taleb <br/> nassim taleb",Unknown
"Verse by Ghalib I am neither the loosening of song nor the close-drawn tent of music; I?m the sound, simply, of my own breaking. Held behind lips, lament burdens the heart; the drop held to itself fails the river and is sucked into dust. If you live aloof in the world?s whole story, the plot of your life drones on, a mere romance. Either one enters the drift, part and whole as one, or life is a mere game: Be, or be lost. ghalib translation",Unknown
"?There are three sides to every story: your side, my side, and the truth. And no one is lying. Memories shared serve each differently?Robert Evans",Robert Evans
?Every saint has a future and every sinner has a past?- Oscar Wilde oscar Wilde,Unknown
?Regret piles around us like books we never read? - Anonymous,Unknown
"Emptiness - Rumi Today,€like€every€other€day,€we€wake€up€emptyand€frightened.€€Don't€open€the€door€to€the€studyand€ begin€reading.€€Take€down€a€musical€instrument.Let€the€beauty€we€love€be€what€we€do.There€are€hu ndreds€of€ways€to€kneel€and€kiss€the€ground. rumi",Sufi
"Excerpt from€?The Shape of Design? by Frank Chimero What is the marker of good design? It moves. The story of a successful piece of design begins with the movement of its maker while it is being made, and amplifies by its publishing, moving the work out and around. It then continues in the feeling the work stirs in the audience when they see, use, or contribute to the work, and intensifies as the audience passes it on to others. Design gains value as it moves from hand to hand; context to context; need to need. If all of this movement harmonizes, the work gains a life of its own, and turns into a shared experience that enhances life and inches the world closer to its full potential. design frank chimero",Unknown
"Always ask the turtle - Gloria Steinem ?I took geology because I thought it was the least scientific of the sciences,? she told an audience at Smith College. ?On a field trip, while everyone else was off looking at the meandering Connecticut River, I was paying no attention whatsoever. Instead, I had a found a giant, GIANT turtle that had climbed out of the river, crawled up a dirt road, and was in the mud on the embankment of another road, seemingly about to crawl up on it and get squashed by a car. ""So, being a good codependent with the world, I tugged and pushed and pulled until I managed to carry this huge, heavy, angry snapping turtle off the embankment and down the road. ""I was just putting it back into the river when my geology professor arrived and said, ?You know, that turtle probably spent a month crawling up that dirt road to lay its eggs in the mud by the side of the road, and you just put it back in the river.? ""Well, I felt terrible. But in later years, I realized that this was the most important political lesson I learned, one that cautioned me about the authoritarian impulse of both left and right. ""Always ask the turtle.? gloria steinem",Unknown
You shouldn?t play this game here. The stakes are too high.?What game??I know your tricks.You hide the truth with the truth.- Excerpt from the TV series ?The Bureau? (translated from French) tv series the bureau,Unknown
?I can?t cry walking about - it?s like eating chocolate in the open air. You get so out of breath you can?t taste the chocolate?Excerpts from Graham Greene?s ?Loser takes All? graham greene excerpts book,Unknown
Dan Harmon On Embracing Your Laziness dan harmon,Unknown
"?When people see some things as beautiful,other things become ugly.When people see some things as good,other things become bad.?",Lao Tzu
"A great writer reveals the truth even when he or she does not wish to. ? Tom bissel (via <a class=""tumblelog"" href=""http://tmblr.co/mdlHDeIa6VrbTzxo5wKnBIw"">wildflowersintherain</a>) tom bissel",Unknown
"Dogwood - Reesa Grushka A few weeks ago, waking up much earlier than I would have liked, considering I was on vacation, and staying in the blessedly silent home of friends in their equally silent neighborhood in Cambridge, Massachusetts, I decided to walk the stiffness out of my body, and the fog from my mind. Aside from myself and one blue jay, busily shoring up its nest, I met only one red-eyed college student in search of donuts, a homeless man righting a tilting streetsign, and a few beleaguered dads, toddlers in tow, on their way to caffeinate themselves into parental functionality. €It was Sunday morning, and the soft rain had released a heavier rain of blossoms. €I saw cherry and apple trees, a few last clinging magnolia petals, white and purple lilacs in full bloom, the Rococo billows of wisteria, the Rhododendron buds ready to burst and the azaleas already in pink and fuchsia flames. €Below the bleeding hearts, a carpet of lily-of-the-valley were on the verge of opening their buds to release their dizzying sweetness. €But it was the dogwoods that dazzled me. In their simplicity, their flat unassuming whiteness, the flowers are like something an artist has labored at for weeks, to capture the papery stiffness of the petals, the way they open out from their green centers like delicate saucers, neither feathery nor drooping. They are a kind of haiku of blossoms, spare and elegant. I felt they were speaking to me with an encoded message, some memory I couldn?t read in their uplifted corollas. It was one week later exactly that the dogwood blossomed in my back garden at home. I remember when it was planted as a sapling. I was eleven years old. The man planting it told me it was a cherry tree, and I waited and waited for it to flower and bear fruit. But it didn?t?neither flower nor fruit appeared there, and I figured it was somehow deffective, an uncherried cherry. Until this spring, when suddenly it became what it must have always been. A dogwood, perfect and still. Is it possible? Not really, but the world is full of impossible things. reesa grushka blog writing",Unknown
"Of course we can find cases of heinous situations, people perhaps who deserve to die. I&rsquo;ve just never met anybody who deserved to kill.                    ? Pete Buttigieg pete buttigieg",Unknown
The only way to deal with an unfree world is to become so absolutely free that your very existence is an act of rebellion.                    ? Albert Camus albert camus,Unknown
A thousand half-loves must be forsaken to take one whole heart home,Rumi
"That is the way to learn the most, that when you are doing something with such enjoyment that you don?t notice that the time passes.                    ? Albert Einstein albert einstein",Unknown
"Bob Dylan on song writing The world don?t need any more songs? As a matter of fact, if nobody wrote any songs from this day on, the world ain?t gonna suffer for it. Nobody cares. There?s enough songs for people to listen to, if they want to listen to songs. For every man, woman and child on earth, they could be sent, probably, each of them, a hundred songs, and never be repeated. There?s enough songs. Unless someone?s gonna come along with a pure heart and has something to say. That?s a different story. But as far as songwriting, any idiot could do it? Everybody writes a song just like everybody?s got that one great novel in them. bob dylan",Unknown
"To one who has faith, no explanation is necessary. To one without faith, no explanation is possible.Thomas Aquinas thomas aquinas",Unknown
"Everythingand Nothing - A short story by Jorge Luis BorgesThere was no one inside him, nothing but a trace of chill, a dream dreamt by no one else behind the face that looks like no other face (even in the bad paintings of the period) and the abundant, whimsical, impassioned words. He started out assuming that everyone was just like him; the puzzlement of a friend to whom he had confided a little of his emptiness revealed his error and left him with the lasting impression that the individual should not diverge from the species. At one time he thought he could find a cure for his ailment in books and accordingly learned the ?small Latin and less Greek? to which a contemporary later referred. He next decided that what he was looking for might be found in the practice of one of humanity?s more elemental rituals: he allowed Anne Hathaway to initiate him over the course of a long June afternoon. In his twenties he went to London. He had become instinctively adept at pretending to be somebody, so that no one would suspect he was in fact nobody. In London he discovered the profession for which he was destined, that of the actor who stands on a stage and pretends to be someone else in front of a group of people who pretend to take him for that other person. Theatrical work brought him rare happiness, possibly the first he had ever known?but when the last line had been applauded and the last corpse removed from the stage, the odious shadow of unreality fell over him again: he ceased being Ferrex or Tamburlaine and went back to being nobody. Hard pressed, he took to making up other heroes, other tragic tales. While his body fulfilled its bodily destiny in the taverns and brothels of London, the soul inside it belonged to Caesar who paid no heed to the oracle?s warnings adn Juliet who hated skylarks and Macbeth in conversation, on the heath, with witches who were also the Fates. No one was as many men as this man: like the Egyptian Proteus, he used up the forms of all creatures. Every now and then he would tuck a confession into some hidden corner of his work, certain that no one would spot it. Richard states that he plays many roles in one, and Iago makes the odd claim: ?I am not what I am.? The fundamental identity of existing, dreaming, and acting inspired him to write famous lines.      For twenty years he kept up this controlled delirium. Then one morning he was overcome by the tedium and horror of being all those kings who died by the sword and all those thwarted lovers who came together and broke apart and melodiously suffered. That very day he decided to sell his troupe. Before the week was out he had returned to his hometown: there he reclaimed the trees and the river of his youth without tying them to the other selves that his muse had sung, decked out in mythological allusion and latinate words. He had to be somebody, and so he became a retired impresario who dabbled in money-lending, lawsuits, and petty usury. It was as this character that he wrote the rather dry last will and testament with which we are familiar, having purposefully expunged from it every trace of emotion and every literary flourish. When friends visited him from London, he went back to playing the role of poet for their benefit.      The story goes that shortly before or after his death, when he found himself in the presence of God, he said: ?I who have been so many men in vain want to be one man only, myself.? The voice of God answered him out of a whirlwind: ?Neither am I what I am. I dreamed the world the way you dreamt your plays, dear Shakespeare. You are one of the shapes of my dreams: like me, you are everything and nothing.? (Spanish; trans. Kenneth Krabbenhoft) short story jorge luis borges writing",Unknown
I drift along in a sea of compulsion<br/> Whether or not I?m dead<br/> I have no idea                    ? PM Dawn lyrics pm dawn,Unknown
"Excerpt from To a Skylark - Percy Bysshe Shelley €We look before and after,And pine for what is not:Our sincerest laughterWith some pain is fraught;Our sweetest songs are those that tell of saddest thought.",Unknown
I don&rsquo;t argue with the muse                    ? Vikram Seth vikram seth,Unknown
"Life - Dorothy Parker There?s little in taking or giving There?s little in water or wine This living, this living , this living was never a project of mine. Oh, hard is the struggle, and sparse is the gain of the one at the top for art is a form of catharsis and love is a permanent flop and work is the province of cattle and rest?s for a clam in a shell so I?m thinking of throwing the battle would you kindly direct me to hell? dorothy parker",Unknown
rumi sufi,Unknown
"&lsquo;Animals don&rsquo;t behave like men,&rsquo; he said. 'If they have to fight, they fight; and if they have to kill they kill. But they don&rsquo;t sit down and set their wits to work to devise ways of spoiling other creatures&rsquo; lives and hurting them. They have dignity and animality.                    ? Richard Adams, Watership Down richard adams",Unknown
"A comment on Amanda Palmer's blog by Kambriel I wonder in this day of easy access/constant communication & connecting, what art perhaps ~isn?t~ being made, what stories aren?t written down in the long form, because through instant gratification we convince ourselves that we told the story we we needed to tell in a quick update, a few tweets, before moving on to the next thing? Perhaps sometimes it?s the loneliness, the isolation, the feeling of not having a quick & easy answer as to how to get our thoughts and feelings out, where these stories (no matter if they?re on the blender setting of raw, brutal honesty #1 or all the way up to an allegorically fantastical, equally raw, but cloaked in a few extra layers of mystery #10), that the lava is given a chance to properly simmer and boil before it erupts and flows. The hunger & innate desire to express can then make the transformation from an off-the-cuff comment, to something more enduring€ blog comment",Unknown
The poet is intimate with truth while the scientist approaches it awkwardly. ? Paramahansa Yogananda paramahamsa yogananda,Unknown
Engaging and insightful interview of Sathguru Jaggi Vasudev conducted by Barkha Dutt. Sadhguru jaggi vasudev barkha dutt spirituality spiritual discourse,Unknown
"Difficult knot - Ghalib Thanks to pessimism, eternal hopelessness is easy to bear. Our desire to undo found this difficult knot pleasing mirza ghalib sufi",Unknown
"Quote by Anais Nin Anxiety is love?s greatest killer. It creates the failures. It makes others feel as you might. When a drowning man holds on to you, you want to save him. But, you know he will strangle you with his panic. anais nin",Unknown
"Our situation: sensitivity increases with affluence; the most minor symptoms cause us to suffer; our body is better protected, our soul sicker. Equality, a comfortable life, freedom of thought, but at the same time, hatred and envy, the infuriation of needing to succeed, the impatience of the present, the need for luxury, the instability of the government, the suffering from doubt and having to search.- friedrich nietzche nietzsche",Nietzche
"Even though it&rsquo;s common knowledge these days, it never ceases to amaze me that all the richness of our mental life - all our feelings, our emotions, our thoughts, our ambitions, our love life, our religious sentiments and even what each of us regards us his own intimate private self - is simply the activity of these little specks of jelly in your head, in your brain. There is nothing else.                    ? Dr VS Ramachandran vs ramachandran",Unknown
"Excerpt from Barack Obama?s ?Dreams from my father?My mother laughed once more, and once again I saw her as the child she had been. Except this time I saw something else: In her smiling, slightly puzzled face, I saw what all children must see at some point if they are to grow up ? their parents? lives revealed to them as separate and apart, reaching out beyond the point of their union or the birth of a child, lives unfurling back to grandparents, great-grandparents, an infinite number of chance meetings, misunderstandings, projected hopes, limited circumstances. My mother was that girl with the movie of beautiful black people in her head, flattered by my father?s attention, confused and alone, trying to break out of the grip of her own parents? lives. The innocence she carried that day, waiting for my father, had been tinged with misconceptions, her own needs. But it was a guileless need, one without self-consciousness, and perhaps that?s how any love begins, impulses and cloudy images that allow us to break across our solitude, and then, if we?re lucky, are finally transformed into something firmer. What I heard from my mother that day, speaking about my father, was ? the love of someone who knows your life in the round, a love that will survive disappointment. She saw my father as everyone hopes at least one other person might see him; she had tried to help the child who never knew him see him in the same way. And it was the look on her face that day that I would remember when a few months later I called to tell her that my father had died and heard her cry out over the distance. barack obama book",Unknown
"It is difficult to get a man to understand something, when his salary depends on his not understanding it                    ? Upton Sinclair upton sinclair",Unknown
"When Voltaire was dying, in his eighties, a priest in attendance called upon him to renounce the devil. Voltaire considered his advice, but decided not to follow it. ?This is no time,? he said, ?to be making new enemies?Mentioned in ?Mortality? by Christopher Hitchens voltaire",Unknown
"Poem by Rabindranath Tagore Where the mind is without fear and the head is held high Where knowledge is free Where the world has not been broken up into fragments By narrow domestic walls Where words come out from the depth of truth Where tireless striving stretches its arms towards perfection Where the clear stream of reason has not lost its way Into the dreary desert sand of dead habit Where the mind is led forward by thee Into ever-widening thought and action Into that heaven of freedom, my Father, let my country awake. rabindranath tagore",Unknown
"Promises - Alexandra Ostolaza Only poets could make these kinds of promises, To give away verses like kisses Words like exhalations. Only poets could make these kinds of promises, We could put our lips on our hearts, And fall in love with every perfect person Who had a perfect excuse. Only poets could make these kinds of promises.., And only true believers take us up on it.",Unknown
"Public Speaking - Seth Godin Speaking in public: two errors that lead to fear€ 1. You believe that you are being actively judged 2. You believe that the subject of the talk is you When you stand up to give a speech, there?s a temptation to believe that the audience is actually interested in you. This just isn?t true. (Or if it is, it doesn?t benefit you to think that it is). You are not being judged, the value of what you are bringing to the audience is being judged. The topic of the talk isn?t you, the topic of the talk is the audience, and specifically, how they can use your experience and knowledge to achieve their objectives. When a professional singer sings a song of heartbreak, his heart is not breaking in that moment. His performance is for you, not for him. (The infinite self-reference loop here is that the professional singer finds what he needs when you find what you need.) The members of the audience are interested in themselves. The audience wants to know what they can use, what they can learn, or at the very least, how they can be entertained. If you dive into your (irrelevant to the listener) personal hurdles, if you try to justify what you?ve done, if you find yourself aswirl in a whirlpool of the resistance, all you?re providing is a little schadenfreude as a form of entertainment. On the other hand, if you realize that you have a chance to be generous in this moment, to teach and to lead, you can leave the self-doubt behind and speak a truth that the audience needs to hear. When you bring that to people who need it, your fear pales in comparison. Media you choose to do is always about the audience. That?s why you?re doing it. The faster we get over ourselves, the sooner we can do a good job for those tuning in. seth godin blog public speaking",Unknown
"Peace is the result of retraining your mind to process life as it is, rather than as you think it should be                    ? Wayne W. Dyer wayne dyer",Unknown
"<p>It would be wonderful to say you regretted it. It would be easy. But what does it mean? What does it mean to regret when you have no choice? It?s what you can bear. There it is. No one?s going to forgive me. It was death. I chose life.</p> <p>??-</p> <p><br/> I remember one morning getting up at dawn, there was such a sense of possibility. You know, that feeling? And I remember thinking to myself: So, this is the beginning of happiness. This is where it starts. And of course there will always be more. It never occurred to me it wasn?t the beginning. It was happiness. It was the moment. Right then.</p>                    ? Excerpts from The Hours hours film micheal cunningham",Unknown
"The obscurities in my soul terrify galaxies.                    ? Friedrich Nietzche (via <a class=""tumblelog"" href=""http://tmblr.co/mLoiBpeaVOjo22p-cYzTp2g"">repositoryofjourneys</a>) friedrich nietzche",Unknown
Even with your subconscious you?re evasive                    ? A dialogue from house md,House
"The baby looks at things all day without winking; that is because his eyes are not focused on any particular object. He goes without knowing where he is going, and stops without knowing what he is doing. He merges himself within the surroundings and moves along with it. These are the principles of mental hygiene                    ? Lao-tzu lao tzu",Unknown
To know one country is to know no country                    ? Charlotte Bronte (Jane Eyre) charlotte bronte,Unknown
Faith - Emily Dickinson ?Faith? is a fine inventionWhen Gentlemen can see?But Microscopes are prudentIn an Emergency.€ emily dickinson,Unknown
"I search in endless pursuit,<br/> And tire in countless ways <br/> Until one day, I see your dance<br/> In every play;                    ? Vemana vemana telugu poetry indian mystic",Unknown
"If you can?t fix it, you?ve got to stand it                    ? Annie Peroux annie peroux brokeback mountain",Unknown
"?I will love the light for it shows me the way, yet I will endure the darkness for it shows me the stars.?Og Mandino og mandino",Unknown
"Excerpt from Dead Poets Society We don?t read and write poetry because it?s cute. We read and write poetry, because we are members of the human race. And the human race is filled with passion. And medicine, law, business, engineering ? these are noble pursuits and necessary to sustain life. But poetry, beauty, romance, love ? these are what we stay alive for. To quote from Whitman, ?O me, O life of the questions of these recurring.Of the endless trains of the faithless. Of cities filled with the foolish. What good amid these, O me, O life?Answer: that you are here. That life exists and identity. That the powerful play goes on, and you may contribute a verse.? ?That the powerful play goes on, and you may contribute a verse.? What will your verse be? film",Unknown
"The other day ? I suddenly realized, with a shudder almost ? how easy it is to fall into the other-imposed trap of trying endlessly to correct and reform oneself, in accordance with this and that, one?s idea of the right person to be, when all the time, one is not merely ?stuck? with oneself, as one is rightly enough, but one suffers from constrictedness, from reaction, from the million-and-one reasons, so boringly personified around one in one?s contemporaries and half-friends and stupid, genteel colleagues, who are always telling us over again that man is bad and sinful!                    ? Alfred Kazin alfred kazin",Unknown
"Because I could not stop for death - Emily Dickinson Because I could not stop for Death,He kindly stopped for me;The carriage held but just ourselvesAnd Immortality. emily dickinson",Unknown
"The grasshoppers sing all summer without food, like those men, who, dedicating themselves to music, forget the common concerns of life. - Plato                    ? plato music",Unknown
"Few things limit us more profoundly than our own beliefs about what we deserve, and few things liberate us more powerfully than daring to broaden our locus of possibility and self-permission for happiness. The stories we tell ourselves about what we are worthy or unworthy of ? from the small luxuries of naps and watermelon to the grandest luxury of a passionate creative calling or a large and possible love ? are the stories that shape our livesMaria Popova",Maria Popova
There is something wonderfully bold and liberating about saying yes to our entire imperfect and messy life.                    ? Tara Brach,Unknown
"What would you like to tell people? I don?t know? I think I?d like to say only that they should learn to be alone and try to spend as much time as possible by themselves. I think one of the faults of young people today is that they try to come together around events that are noisy, almost aggressive at times. This desire to be together in order to not feel alone is an unfortunate symptom, in my opinion. Every person needs to learn from childhood how to be spend time with oneself. That doesn?t mean he should be lonely, but that he shouldn?t grow bored with himself because people who grow bored in their own company seem to me in danger, from a self-esteem point of view. andrei tarkovsky",Unknown
"Are you a creature of illusion? or illusion your creation? Are you a part of the body? Or is the body a part of you? Is space within the house? Or the house within space? Or are both space and the house within the seeing eye? Is the eye within the mind? Or the mind within the eye? Or are both the eye and the mind within you? Does sweetness lie in sugar, or sugar in sweetness? Or do both sweetness and sugar lie in the tongue? Is the tongue within the mind? Or the mind within the tongue? Or are both the tongue and the mind within you? Does fragrance lie in the flower? Or the flower in fragrance? Or do both the flower and fragrance lie in the nostrils? I cannot say, O Lord Adikeshava of Kaginele, O! peerless one, are all things within you alone? ? Saint Kanakadasa translation kanakadasa",Kanakadasa
Here you come upon the important fact that every revolutionary opinion draws part of its strength from a secret conviction that nothing can be changed.George Orwell george orwell,Unknown
?Quis custodiet ipsos custodes???Who will guard the guards themselves??-Excerpt from from Juvenal?s ?Satires? latin,Unknown
"If the universe is meaningless, so is the statement that it is so.    Alan Watts alan watts",Unknown
"Success - Victor Frankl Don?t aim at success ? the more you aim at it and make it a target, the more you are going to miss it. For success, like happiness, cannot be pursued; it must ensue, and it only does so as the unintended side-effect of one?s dedication to a cause greater than oneself or as the by-product of one?s surrender to a person other than oneself. Happiness must happen, and the same holds for success: you have to let it happen by not caring about it. I want you to listen to what your conscience commands you to do and go on to carry it out to the best of your knowledge. Then you will live to see that in the long run?in the long run, I say!?success will follow you precisely because you had forgotten to think of it. victor frankl",Unknown
"Although the act of reflecting and writing, in itself, can be beneficial, you?ll multiply the power of your diary if you review it regularly ? if you listen to what your life has been telling you. Periodically, maybe once a month, set aside time to get comfortable and read back through your entries. And, on New Year?s Day, make an annual ritual of reading through the previous year. steven kramer teresa amabile",Diary
"?I find hope in the darkest of days, and focus in the brightest. I do not judge the Universe? - The dalai lama",Dalai Lama
"Last night - Faiz Last night your faded memory filled my heart Like spring?s calm advent in the wilderness, Like the soft desert footfalls of the breeze, Like peace somehow coming to one in sickness. faiz urdu poetry translation vg kiernan",Unknown
"What is the phrase for the moon? and the phrase for love? by What name are we to call death? I need a little language such as lovers use, words of one syllable such as children speak when they come into the room and find their mother- I need a howl; a cry.Virginia Woolf virginia woolf",Unknown
"Mother always said: Two ears, one mouth.                    ? Holdengräber€",Unknown
"Poem - Pablo Neruda And now I?m going behind this page, but not disappearing. I?ll dive into clear air like a swimmer in the sky, and then get back to growing till one day I?m so small that the wind will take me away and I won?t know my own name and I won?t be there when I wake. Then I will sing in the silence pablo neruda alistair reid",Unknown
"?sangIta SAstra jnAnamu, sArupya saukhyadamE manasA??The knowledge of music confers on the worshipper the qualities of the worshipped? tyagaraja",Unknown
"When you can endure - Hafiz When the words stop And you can endure the silence€ That reveals your heart?s Pain€ Of emptiness Or that great wrenching-sweet longing,€ That is the time to try and listen To what the Beloved's€Eyes€ Most want to€Say. Sufi",Hafiz
Life will give you whatever experience is most helpful for the evolution of your consciousness. How do you know this is the experience you need? Because this is the experience you are having at this moment.                    ? Eckhart Tolle eckhart tolle book a new earth,Unknown
"Nevermind - Leonard Cohen The war was lostThe treaty signedI was not caughtI crossed the lineI was not caughtThough many triedI live among youWell disguisedI had to leaveMy life behindI dug some gravesYou?ll never findThe story?s toldWith facts and liesI have a nameBut nevermindNevermindNevermindThe war was lostThe treaty signedThere?s truth that livesAnd truth that diesI don?t know whichSo nevermindYour victoryWas so completeSome among youThought to keepA record ofOur little livesThe clothes we woreOur spoons, our knivesThe games of luckOur soldiers playedThe stones we cutThe songs we madeOur law of peaceWhich understandsA husband leadsA wife commandsAnd all of thisExpressions ofThe sweet indifferenceSome call loveThe high indifferenceSome call fateBut we had namesMore intimateNames so deep andNames so trueThey?re blood to meThey?re dust to youThere is no needThat this surviveThere?s truth that livesAnd truth that diesNevermindNevermindI live the lifeI left behindThere?s truth that livesAnd truth that diesI don?t know whichSo nevermindI could not killThe way you killI could not hateI tried I failedYou turned me inAt least you triedYou side with themWhom you despiseThis was your heartThis swarm of fliesThis was once your mouthThis bowl of liesYou serve them wellI?m not surprisedYou?re of their kinYou?re of their kindNevermindNevermindI had to leave my life behindThe story?s toldWith facts and liesYou own the worldSo nevermindNevermindNevermindI live the lifeI left behindI live it fullI live it wideThrough layers of timeYou can?t divideMy woman?s hereMy children tooTheir graves are safeFrom ghosts like youIn places deepWith roots entwinedI live the life I left behindThe war was lostThe treaty signedI was not caughtI crossed the lineI was not caughtThough many triedI live among youWell disguised song leonard cohen",Unknown
"Ode to a flower: I have a friend who?s an artist and has sometimes taken a view which I don?t agree with very well. He?ll hold up a flower and say ?look how beautiful it is,? and I?ll agree. Then he says ?I as an artist can see how beautiful this is but you as a scientist take this all apart and it becomes a dull thing,? and I think that he?s kind of nutty. First of all, the beauty that he sees is available to other people and to me too, I believe? I can appreciate the beauty of a flower. At the same time, I see much more about the flower than he sees. I could imagine the cells in there, the complicated actions inside, which also have a beauty. I mean it?s not just beauty at this dimension, at one centimeter; there?s also beauty at smaller dimensions, the inner structure, also the processes. The fact that the colors in the flower evolved in order to attract insects to pollinate it is interesting; it means that insects can see the color. It adds a question: does this aesthetic sense also exist in the lower forms? Why is it aesthetic? All kinds of interesting questions which the science knowledge only adds to the excitement, the mystery and the awe of a flower. It only adds. I don?t understand how it subtracts. - Richard Feynman richard feynman",Unknown
Attention is the rarest and purest form of generosity                    ? Simone simone weil,Weil
"Excerpt from Robert Walser?s€?Looking at Photographs? He feels it, that?s all, and that?s how he finds it. He instantly separates the things of the highest importance from the unimportant ones, leaving everything extraneous or illusory to be what it will. He can gather his thoughts in a flash, his mind lucid, his consciousness alert. He is swift to discern what is not a matter of indifference, and for this reason always has both the inclination and cause to be of good cheer. His optimism waxes along with his predisposition to dispense with worry. When others ask: ?What now?? and do not know the way forward, he has already found his own. He doesn?t see his path clearly, but also doesn?t consider this absolutely necessary; he strikes out in some direction or other, and one thing leads to the next. All paths lead to lives of some sort, and that?s all he requires, for every life promises a great deal and is replete with possibilities enchantingly fulfilled robert walser book brainpickings",Unknown
"We know too little to commit to atheism, and too much to commit to religion ? David Eagleman david eagleman",Unknown
What we take to be true is what we believe. What we believe is based upon our perceptions. What we perceive depends on what we look for. What we look for depends on what we think. What we think depends on what we perceive. What we perceive determines what we believe. What we believe determines what we take to be true. What we take to be true is our reality. ? David Bohm david bohm,Unknown
"Optimism - Phillipa Perry Optimism does not mean continual happiness, glazed eyes and a fixed grin. When I talk about the desirability of optimism I do not mean that we should delude ourselves about reality. But practicing optimism does mean focusing more on the positive fall-out of an event than on the negative. ? I am not advocating the kind of optimism that means you blow all your savings on a horse running at a hundred to one; I am talking about being optimistic enough to sow some seeds in the hope that some of them will germinate and grow into flowers. ?. We all like to think we keep an open mind and can change our opinions in the light of new evidence, but most of us seem to be geared to making up our minds very quickly. Then we process further evidence not with an open mind but with a filter, only acknowledging the evidence that backs up our original impression. It is too easy for us to fall into the rap of believing that being right is more important than being open to what might be. If we practice detachment from our thoughts we learn to observe them as though we are taking a bird?s eye view of our own thinking. When we do this, we might find that our thinking belongs to an older, and different, story to the one we are now living. phillipa perry",Unknown
